Data,Fechamento,Variação,Variação (%),Abertura,Máxima,Mínima,Volume
19/03/2020,11.74,1.19,11.28,9.8,13.4,8.74,16527900
20/03/2020,14.05,2.31,19.68,13.7,17.5,13.01,17483100
21/03/2020,14.05,0,0,14.05,14.05,14.05,0
22/03/2020,14.05,0,0,14.05,14.05,14.05,0
23/03/2020,14.07,0.02,0.14,14.22,14.34,12.53,13001300
24/03/2020,16.49,2.42,17.2,16.6,17.66,15.66,19375800
25/03/2020,19.1,2.61,15.83,16.59,20,16.55,19372800
26/03/2020,20.73,1.63,8.53,19,23.48,19,19715200
27/03/2020,19.6,-1.13,-5.45,19.23,21.98,18.25,13224600
28/03/2020,19.6,0,0,19.6,19.6,19.6,0
29/03/2020,19.6,0,0,19.6,19.6,19.6,0
30/03/2020,19.46,-0.14,-0.71,20.97,22.38,18.9,8758500
31/03/2020,17.57,-1.89,-9.71,19.5,19.65,17.2,12195700
01/04/2020,15.09,-2.48,-14.11,16.04,16.09,14.37,16902000
02/04/2020,14.73,-0.36,-2.39,15.2,15.98,14.4,11139300
03/04/2020,14.29,-0.44,-2.99,14.6,14.61,13.12,8263100
04/04/2020,14.29,0,0,14.29,14.29,14.29,0
05/04/2020,14.29,0,0,14.29,14.29,14.29,0
06/04/2020,15.75,1.46,10.22,15.8,15.92,14.71,9645800
07/04/2020,15.73,-0.02,-0.13,16.86,17.9,15.6,16971300
08/04/2020,16.81,1.08,6.87,15.69,16.86,15.01,13146800
09/04/2020,16.55,-0.26,-1.55,17.44,17.6,16.02,12762100
10/04/2020,16.55,0,0,16.55,16.55,16.55,0
11/04/2020,16.55,0,0,16.55,16.55,16.55,0
12/04/2020,16.55,0,0,16.55,16.55,16.55,0
13/04/2020,16.2,-0.35,-2.11,16.39,16.71,15.62,8504000
14/04/2020,16.34,0.14,0.86,16.28,16.9,15.91,12918600
15/04/2020,16.53,0.19,1.16,15.8,16.87,15.71,9367100
16/04/2020,16.21,-0.32,-1.94,16.93,17.2,15.98,8667500
17/04/2020,16.26,0.05,0.31,16.56,17.15,16.02,10889900
18/04/2020,16.26,0,0,16.26,16.26,16.26,0
19/04/2020,16.26,0,0,16.26,16.26,16.26,0
20/04/2020,16.7,0.44,2.71,15.99,16.84,15.75,10639800
21/04/2020,16.7,0,0,16.7,16.7,16.7,0
22/04/2020,16.31,-0.39,-2.34,16.45,16.73,16.18,10066800
23/04/2020,16.36,0.05,0.31,16.36,16.65,16.02,10455800
24/04/2020,14.26,-2.1,-12.84,16.24,16.26,13.7,18787500
25/04/2020,14.26,0,0,14.26,14.26,14.26,0
26/04/2020,14.26,0,0,14.26,14.26,14.26,0
27/04/2020,14.21,-0.05,-0.35,14.61,14.74,13.89,9771800
28/04/2020,16.05,1.84,12.95,14.49,16.1,14.29,12383300
29/04/2020,17.19,1.14,7.1,16.29,17.48,16.25,15686500
30/04/2020,17.1,-0.09,-0.52,16.79,17.45,16.28,14743300
01/05/2020,17.1,0,0,17.1,17.1,17.1,0
02/05/2020,17.1,0,0,17.1,17.1,17.1,0
03/05/2020,17.1,0,0,17.1,17.1,17.1,0
04/05/2020,15.36,-1.74,-10.18,15.9,16.2,14.88,19511800
05/05/2020,15.09,-0.27,-1.76,15.65,15.78,15.01,7546000
06/05/2020,14.8,-0.29,-1.92,15.12,15.26,14.45,7210900
07/05/2020,13.76,-1.04,-7.03,15.21,15.26,13.65,15424200
08/05/2020,13.72,-0.04,-0.29,13.94,14.2,13.45,11318500
09/05/2020,13.72,0,0,13.72,13.72,13.72,0
10/05/2020,13.72,0,0,13.72,13.72,13.72,0
11/05/2020,13.17,-0.55,-4.01,13.5,13.64,12.66,7616800
12/05/2020,12.62,-0.55,-4.18,13.25,13.79,12.5,7660600
13/05/2020,12.52,-0.1,-0.79,12.86,13.02,12.08,9519100
14/05/2020,11.72,-0.8,-6.39,12,12.2,11.36,17568700
15/05/2020,11.12,-0.6,-5.12,11.61,11.83,11.01,15437800
16/05/2020,11.12,0,0,11.12,11.12,11.12,0
17/05/2020,11.12,0,0,11.12,11.12,11.12,0
18/05/2020,14.5,3.38,30.4,11.66,14.6,11.44,34241500
19/05/2020,13.81,-0.69,-4.76,13.89,14.99,12.72,46196600
20/05/2020,15.43,1.62,11.73,14.26,16.87,14.05,51845900
21/05/2020,15.58,0.15,0.97,15.8,16.8,15.34,34624000
22/05/2020,15.09,-0.49,-3.15,15,15.35,14.6,14334500
23/05/2020,15.09,0,0,15.09,15.09,15.09,0
24/05/2020,15.09,0,0,15.09,15.09,15.09,0
25/05/2020,15.37,0.28,1.86,15.6,16.1,15.19,12462700
26/05/2020,14.9,-0.47,-3.06,15.9,16,14.63,17815900
27/05/2020,14.92,0.02,0.13,15.02,15.1,14.08,14839000
28/05/2020,14.7,-0.22,-1.47,14.59,15.24,14.43,11536000
29/05/2020,14.3,-0.4,-2.72,14.5,14.65,14.1,14978300
30/05/2020,14.3,0,0,14.3,14.3,14.3,0
31/05/2020,14.3,0,0,14.3,14.3,14.3,0
01/06/2020,15.29,0.99,6.92,14.2,15.45,14,22599200
02/06/2020,16.79,1.5,9.81,15.7,16.8,15.63,32496000
03/06/2020,18.57,1.78,10.6,17.85,19.63,17.7,46131200
04/06/2020,19.08,0.51,2.75,18.75,19.59,17.74,27547500
05/06/2020,21.25,2.17,11.37,20.7,21.73,20.53,32824900
06/06/2020,21.25,0,0,21.25,21.25,21.25,0
07/06/2020,21.25,0,0,21.25,21.25,21.25,0
08/06/2020,27.89,6.64,31.25,23.44,27.89,22.86,59421900
09/06/2020,25.79,-2.1,-7.53,26.2,29.56,25.02,68865800
10/06/2020,23.49,-2.3,-8.92,27.3,28,22.91,55095300
11/06/2020,23.49,0,0,23.49,23.49,23.49,0
12/06/2020,22.46,-1.03,-4.38,21.14,23.23,21,42967900
13/06/2020,22.46,0,0,22.46,22.46,22.46,0
14/06/2020,22.46,0,0,22.46,22.46,22.46,0
15/06/2020,22.26,-0.2,-0.89,20.7,22.89,19.81,54016000
16/06/2020,23,0.74,3.32,24,24.46,22.26,42476100
17/06/2020,22.5,-0.5,-2.17,23.06,23.78,21.85,26789400
18/06/2020,21.9,-0.6,-2.67,22.16,22.9,21.83,18615100
19/06/2020,21.75,-0.15,-0.68,22.6,22.72,21.35,20724800
20/06/2020,21.75,0,0,21.75,21.75,21.75,0
21/06/2020,21.75,0,0,21.75,21.75,21.75,0
22/06/2020,20.73,-1.02,-4.69,21.65,21.75,20.42,20541600
23/06/2020,22.59,1.86,8.97,21.1,22.96,20.31,34984200
24/06/2020,21.02,-1.57,-6.95,22.3,22.37,20.5,27296000
25/06/2020,21.15,0.13,0.62,21.11,21.95,20.5,27387500
26/06/2020,20.15,-1,-4.73,21,21.45,20,16310400
27/06/2020,20.15,0,0,20.15,20.15,20.15,0
28/06/2020,20.15,0,0,20.15,20.15,20.15,0
29/06/2020,20.74,0.59,2.93,20.51,20.97,19.22,26403700
30/06/2020,20.11,-0.63,-3.04,20.44,20.67,20.1,13888700
01/07/2020,20.78,0.67,3.33,20.4,21.55,20.2,20843600
