Data,Fechamento,Variação,Variação (%),Abertura,Máxima,Mínima,Volume
03/01/2020,37.51,0,0,36.9,38,36.88,30051900
04/01/2020,37.51,0,0,37.51,37.51,37.51,0
05/01/2020,37.51,0,0,37.51,37.51,37.51,0
06/01/2020,36.84,-0.67,-1.79,37.2,37.28,36.44,25300900
07/01/2020,36.2,-0.64,-1.74,36.75,36.96,36,14857300
08/01/2020,35.64,-0.56,-1.55,36.37,36.52,35.46,21266800
09/01/2020,35.07,-0.57,-1.6,35.78,35.89,34.72,23124800
10/01/2020,34.43,-0.64,-1.82,35.11,35.38,34.35,19870000
11/01/2020,34.43,0,0,34.43,34.43,34.43,0
12/01/2020,34.43,0,0,34.43,34.43,34.43,0
13/01/2020,34.8,0.37,1.07,34.78,34.95,34.57,16318400
14/01/2020,34.76,-0.04,-0.11,34.83,34.85,34.34,14231300
15/01/2020,34.15,-0.61,-1.75,34.58,34.62,33.87,21264300
16/01/2020,34.64,0.49,1.43,34.28,34.9,34.15,24654400
17/01/2020,35.45,0.81,2.34,34.85,35.56,34.78,22535700
18/01/2020,35.45,0,0,35.45,35.45,35.45,0
19/01/2020,35.45,0,0,35.45,35.45,35.45,0
20/01/2020,34.76,-0.69,-1.95,35.26,35.35,34.61,14011700
21/01/2020,33.6,-1.16,-3.34,34.5,34.67,33.59,23482400
22/01/2020,33.72,0.12,0.36,34,34.14,33.54,17860200
23/01/2020,34.61,0.89,2.64,33.49,34.96,33.35,29248100
24/01/2020,34.35,-0.26,-0.75,34.72,34.88,33.96,13412200
25/01/2020,34.35,0,0,34.35,34.35,34.35,0
26/01/2020,34.35,0,0,34.35,34.35,34.35,0
27/01/2020,33.56,-0.79,-2.3,33.98,34.07,33.43,14253400
28/01/2020,33.6,0.04,0.12,33.85,34.03,33.38,12507200
29/01/2020,33.12,-0.48,-1.43,33.86,33.92,33,16164300
30/01/2020,33.45,0.33,1,32.72,33.53,32.57,15806900
31/01/2020,32.89,-0.56,-1.67,33.04,33.28,32.62,17359700
