Data,Fechamento,Variação,Variação (%),Abertura,Máxima,Mínima,Volume
29/10/2020,1.2,-0.27,-18.37,1.47,1.47,0.85,4111000
30/10/2020,0.97,-0.23,-19.17,1.08,1.17,0.87,2611600
31/10/2020,0.97,0,0,0.97,0.97,0.97,0
01/11/2020,0.97,0,0,0.97,0.97,0.97,0
02/11/2020,0.97,0,0,0.97,0.97,0.97,0
03/11/2020,1.32,0.35,36.08,1.17,1.32,1.02,852500
04/11/2020,1.11,-0.21,-15.91,1.5,1.6,0.93,742400
05/11/2020,1.19,0.08,7.21,1.2,1.3,0.92,4251600
06/11/2020,1.07,-0.12,-10.08,1.07,1.18,0.99,1191700
07/11/2020,1.07,0,0,1.07,1.07,1.07,0
08/11/2020,1.07,0,0,1.07,1.07,1.07,0
09/11/2020,2.44,1.37,128.04,1.3,2.55,1.3,1607900
10/11/2020,3.81,1.37,56.15,2.3,3.94,2.3,381400
11/11/2020,3.18,-0.63,-16.54,3.5,3.86,3,51500
12/11/2020,2.85,-0.33,-10.38,3.41,3.66,2.75,95400
13/11/2020,3.5,0.65,22.81,2.95,3.5,2.95,51400
14/11/2020,3.5,0,0,3.5,3.5,3.5,0
15/11/2020,3.5,0,0,3.5,3.5,3.5,0
16/11/2020,4.64,1.14,32.57,4.25,4.64,4.1,23700
17/11/2020,4.65,0.01,0.22,4.33,4.65,4.01,316100
18/11/2020,4.23,-0.42,-9.03,4.65,4.65,4.1,34000
19/11/2020,4,-0.23,-5.44,4.23,4.38,4,55000
20/11/2020,3.62,-0.38,-9.5,4,4,3.6,42000
21/11/2020,3.62,0,0,3.62,3.62,3.62,0
22/11/2020,3.62,0,0,3.62,3.62,3.62,0
23/11/2020,3.9,0.28,7.73,4,4.07,3.78,2700
24/11/2020,5,1.1,28.21,4.25,5.21,4.25,61100
25/11/2020,4.58,-0.42,-8.4,4.51,4.58,4.39,20400
26/11/2020,4.17,-0.41,-8.95,4.13,4.17,4.13,4000
27/11/2020,4.2,0.03,0.72,4.45,4.45,4.15,3300
28/11/2020,4.2,0,0,4.2,4.2,4.2,0
29/11/2020,4.2,0,0,4.2,4.2,4.2,0
30/11/2020,3.76,-0.44,-10.48,3.6,3.76,3.6,3400
01/12/2020,5.25,1.49,39.63,4.02,5.25,4.02,34000
02/12/2020,5.2,-0.05,-0.95,4.85,5.2,4.85,12500
03/12/2020,4.99,-0.21,-4.04,4.99,5.9,4.99,9300
04/12/2020,4.99,0,0,4.99,4.99,4.99,500
05/12/2020,4.99,0,0,4.99,4.99,4.99,0
06/12/2020,4.99,0,0,4.99,4.99,4.99,0
07/12/2020,5.57,0.58,11.62,5.5,5.57,5.5,5700
08/12/2020,4.87,-0.7,-12.57,5.3,5.39,4.84,14900
09/12/2020,4.95,0.08,1.64,4.94,4.96,4.85,3300
10/12/2020,5.98,1.03,20.81,5.55,6.01,5.55,15300
11/12/2020,5.9,-0.08,-1.34,5.86,5.91,5.83,5600
12/12/2020,5.9,0,0,5.9,5.9,5.9,0
13/12/2020,5.9,0,0,5.9,5.9,5.9,0
14/12/2020,5.72,-0.18,-3.05,6.1,6.1,5.72,9500
15/12/2020,5.9,0.18,3.15,5.95,6.1,5.9,3900
16/12/2020,5.6,-0.3,-5.08,5.71,5.71,5.57,9800
17/12/2020,6.39,0.79,14.11,6.71,6.83,6.39,54000
