Data,Fechamento,Variação,Variação (%),Abertura,Máxima,Mínima,Volume
23/03/2020,20.62,-1.48,-6.7,22.26,22.49,20,53457900
24/03/2020,22.5,1.88,9.12,21.7,23.28,21.5,51467700
25/03/2020,23.5,1,4.44,22.23,24.73,22.01,43889700
26/03/2020,24.4,0.9,3.83,24.23,24.82,23.72,50777700
27/03/2020,23.1,-1.3,-5.33,23.02,24.02,22.51,41981300
28/03/2020,23.1,0,0,23.1,23.1,23.1,0
29/03/2020,23.1,0,0,23.1,23.1,23.1,0
30/03/2020,24.2,1.1,4.76,23.11,24.39,22.83,30225500
31/03/2020,22.92,-1.28,-5.29,23.95,24.25,22.81,40625200
01/04/2020,21.51,-1.41,-6.15,22.22,22.38,21.19,44343800
02/04/2020,21.52,0.01,0.05,21.38,22,21.15,39132700
03/04/2020,20.73,-0.79,-3.67,21.42,21.48,20.01,37393100
04/04/2020,20.73,0,0,20.73,20.73,20.73,0
05/04/2020,20.73,0,0,20.73,20.73,20.73,0
06/04/2020,22.2,1.47,7.09,22.14,22.68,21.89,39305700
07/04/2020,23.05,0.85,3.83,23.5,23.88,22.92,38049700
08/04/2020,24.33,1.28,5.55,23.01,24.39,22.94,40947000
09/04/2020,23.63,-0.7,-2.88,24.46,24.7,23.5,37307000
10/04/2020,23.63,0,0,23.63,23.63,23.63,0
11/04/2020,23.63,0,0,23.63,23.63,23.63,0
12/04/2020,23.63,0,0,23.63,23.63,23.63,0
13/04/2020,24.1,0.47,1.99,23.45,24.13,23.02,21602700
14/04/2020,24.42,0.32,1.33,24.46,25.15,24.3,33766100
15/04/2020,23.5,-0.92,-3.77,23.85,24.48,23.37,34845100
16/04/2020,23.2,-0.3,-1.28,23.7,23.82,22.8,31071300
17/04/2020,23.1,-0.1,-0.43,23.44,23.61,22.61,25164100
18/04/2020,23.1,0,0,23.1,23.1,23.1,0
19/04/2020,23.1,0,0,23.1,23.1,23.1,0
20/04/2020,22.7,-0.4,-1.73,22.72,22.97,22.5,28583800
21/04/2020,22.7,0,0,22.7,22.7,22.7,0
22/04/2020,22.4,-0.3,-1.32,22.4,23.13,22.21,48051200
23/04/2020,22,-0.4,-1.79,22.66,22.74,21.84,41455100
24/04/2020,21.18,-0.82,-3.73,21.74,21.82,20.37,68819700
25/04/2020,21.18,0,0,21.18,21.18,21.18,0
26/04/2020,21.18,0,0,21.18,21.18,21.18,0
27/04/2020,21.59,0.41,1.94,21.54,22.14,21.1,38416700
28/04/2020,23.38,1.79,8.29,22.98,23.61,22.59,58267500
29/04/2020,23.88,0.5,2.14,24,24.12,23.16,31532100
30/04/2020,22.79,-1.09,-4.56,22.59,23.33,22.46,46293100
01/05/2020,22.79,0,0,22.79,22.79,22.79,0
02/05/2020,22.79,0,0,22.79,22.79,22.79,0
03/05/2020,22.79,0,0,22.79,22.79,22.79,0
04/05/2020,21.99,-0.8,-3.51,21.95,22.09,21.78,32042300
05/05/2020,22.8,0.81,3.68,22.2,23.37,21.91,51925500
06/05/2020,22.15,-0.65,-2.85,22.6,22.78,22,29178900
07/05/2020,21.62,-0.53,-2.39,22.38,22.48,21.13,52200500
08/05/2020,22.54,0.92,4.26,22.02,22.77,21.9,35745100
09/05/2020,22.54,0,0,22.54,22.54,22.54,0
10/05/2020,22.54,0,0,22.54,22.54,22.54,0
11/05/2020,22.32,-0.22,-0.98,22.17,23.03,22.17,38216500
12/05/2020,21.67,-0.65,-2.91,22.51,22.66,21.59,43248200
13/05/2020,21.82,0.15,0.69,21.74,21.94,21.2,34711100
14/05/2020,22.55,0.73,3.35,21.31,22.6,20.73,61771700
15/05/2020,21.8,-0.75,-3.33,22.5,22.77,21.63,37767500
16/05/2020,21.8,0,0,21.8,21.8,21.8,0
17/05/2020,21.8,0,0,21.8,21.8,21.8,0
18/05/2020,22.8,1,4.59,22.45,22.94,22.01,49600900
19/05/2020,21.73,-1.07,-4.69,22.63,22.72,21.61,40881800
20/05/2020,21.64,-0.09,-0.41,21.93,21.95,21.36,41396000
