Data,Fechamento,Variação,Variação (%),Abertura,Máxima,Mínima,Volume
19/03/2020,12,0.49,4.26,11.07,13.07,10.85,157065200
20/03/2020,11.99,-0.01,-0.08,13.11,13.5,11.83,149029900
21/03/2020,11.99,0,0,11.99,11.99,11.99,0
22/03/2020,11.99,0,0,11.99,11.99,11.99,0
23/03/2020,11.69,-0.3,-2.5,12.11,12.18,11.28,107092400
24/03/2020,13.13,1.44,12.32,12.57,13.54,12.28,114259200
25/03/2020,14.29,1.16,8.83,13.24,14.79,12.83,158286200
26/03/2020,14.4,0.11,0.77,14.4,15.19,13.81,130618400
27/03/2020,13.4,-1,-6.94,13.3,13.69,13.25,101405900
28/03/2020,13.4,0,0,13.4,13.4,13.4,0
29/03/2020,13.4,0,0,13.4,13.4,13.4,0
30/03/2020,13.49,0.09,0.67,13.15,13.74,12.83,110947200
31/03/2020,13.9,0.41,3.04,13.6,14.54,13.6,156116500
01/04/2020,14.4,0.5,3.6,13.45,14.55,13.32,114455000
02/04/2020,15.52,1.12,7.78,15.4,16.55,15.01,234951200
03/04/2020,15.28,-0.24,-1.55,16.3,16.36,14.93,142898700
04/04/2020,15.28,0,0,15.28,15.28,15.28,0
05/04/2020,15.28,0,0,15.28,15.28,15.28,0
06/04/2020,15.81,0.53,3.47,16.05,16.1,15.18,123934200
07/04/2020,16.47,0.66,4.17,16.61,17.07,16.34,140498900
08/04/2020,17.49,1.02,6.19,16.5,17.53,16.4,116151600
09/04/2020,16.88,-0.61,-3.49,17.94,18.69,16.5,185771300
10/04/2020,16.88,0,0,16.88,16.88,16.88,0
11/04/2020,16.88,0,0,16.88,16.88,16.88,0
12/04/2020,16.88,0,0,16.88,16.88,16.88,0
13/04/2020,16.9,0.02,0.12,16.82,17.09,16.33,93724000
14/04/2020,16.78,-0.12,-0.71,17.02,17.3,16.61,91017200
15/04/2020,16.46,-0.32,-1.91,16.04,16.47,15.86,86749600
16/04/2020,15.83,-0.63,-3.83,16.67,16.76,15.53,115633300
17/04/2020,16.11,0.28,1.77,15.75,16.15,15.56,116733000
18/04/2020,16.11,0,0,16.11,16.11,16.11,0
19/04/2020,16.11,0,0,16.11,16.11,16.11,0
20/04/2020,15.99,-0.12,-0.74,15.48,16.33,15.34,133739400
21/04/2020,15.99,0,0,15.99,15.99,15.99,0
22/04/2020,16.75,0.76,4.75,15.85,16.75,15.78,114967100
23/04/2020,16.9,0.15,0.9,17.2,17.43,16.62,94759000
24/04/2020,16.2,-0.7,-4.14,16.69,16.79,15.28,161188800
25/04/2020,16.2,0,0,16.2,16.2,16.2,0
26/04/2020,16.2,0,0,16.2,16.2,16.2,0
27/04/2020,16.36,0.16,0.99,16.14,16.53,15.78,85944900
28/04/2020,17.18,0.82,5.01,17.04,17.25,16.63,91613600
29/04/2020,18.28,1.1,6.4,17.8,18.48,17.53,94528400
30/04/2020,18.01,-0.27,-1.48,17.98,18.42,17.7,80263900
01/05/2020,18.01,0,0,18.01,18.01,18.01,0
02/05/2020,18.01,0,0,18.01,18.01,18.01,0
03/05/2020,18.01,0,0,18.01,18.01,18.01,0
04/05/2020,17.45,-0.56,-3.11,17.43,17.62,17.18,60268400
05/05/2020,18.03,0.58,3.32,17.9,18.48,17.87,75043400
06/05/2020,17.24,-0.79,-4.38,17.87,18.06,17.2,67937500
07/05/2020,17.46,0.22,1.28,17.75,17.87,17.35,81265100
08/05/2020,18.6,1.14,6.53,17.74,18.6,17.71,83232700
09/05/2020,18.6,0,0,18.6,18.6,18.6,0
10/05/2020,18.6,0,0,18.6,18.6,18.6,0
11/05/2020,18.15,-0.45,-2.42,18.3,18.93,18.11,65061500
12/05/2020,18.03,-0.12,-0.66,18.53,18.83,18,71837200
13/05/2020,17.73,-0.3,-1.66,18.26,18.35,17.52,87222300
14/05/2020,17.68,-0.05,-0.28,17.4,17.7,16.72,119653200
15/05/2020,17.15,-0.53,-3,17.99,18.19,17.15,133733100
16/05/2020,17.15,0,0,17.15,17.15,17.15,0
17/05/2020,17.15,0,0,17.15,17.15,17.15,0
18/05/2020,18.54,1.39,8.1,18.1,18.55,17.92,116999500
19/05/2020,18.78,0.24,1.29,18.51,18.93,18.41,80131600
20/05/2020,19.38,0.6,3.19,19.09,19.44,19.06,74595100
21/05/2020,19.21,-0.17,-0.88,19.5,19.77,19.07,81327000
22/05/2020,19.04,-0.17,-0.88,18.8,19.04,18.35,71259400
23/05/2020,19.04,0,0,19.04,19.04,19.04,0
24/05/2020,19.04,0,0,19.04,19.04,19.04,0
25/05/2020,19.55,0.51,2.68,19.48,19.56,19.26,38033000
26/05/2020,19.76,0.21,1.07,19.98,20.09,19.33,68716900
27/05/2020,19.89,0.13,0.66,19.8,19.94,19.15,74790800
28/05/2020,19.73,-0.16,-0.8,19.69,20.08,19.45,65023000
29/05/2020,20.44,0.71,3.6,19.55,20.45,19.3,128832600
30/05/2020,20.44,0,0,20.44,20.44,20.44,0
31/05/2020,20.44,0,0,20.44,20.44,20.44,0
01/06/2020,20.36,-0.08,-0.39,20.15,20.56,20,86579500
02/06/2020,21.45,1.09,5.35,20.75,21.5,20.6,77235100
03/06/2020,21.49,0.04,0.19,21.86,21.91,21.4,86219700
04/06/2020,21.52,0.03,0.14,21.39,21.78,21.04,107401400
05/06/2020,22.02,0.5,2.32,22.29,23.03,22.02,114137700
06/06/2020,22.02,0,0,22.02,22.02,22.02,0
07/06/2020,22.02,0,0,22.02,22.02,22.02,0
08/06/2020,22.5,0.48,2.18,22.55,22.59,22.01,82444400
09/06/2020,21.78,-0.72,-3.2,22.03,22.04,21.64,96488300
10/06/2020,21.3,-0.48,-2.2,21.89,21.9,21,102551100
11/06/2020,21.3,0,0,21.3,21.3,21.3,0
12/06/2020,20.57,-0.73,-3.43,20.62,21.17,20.1,116746700
13/06/2020,20.57,0,0,20.57,20.57,20.57,0
14/06/2020,20.57,0,0,20.57,20.57,20.57,0
15/06/2020,20.71,0.14,0.68,19.81,21.09,19.54,99931000
16/06/2020,21.36,0.65,3.14,21.56,21.91,21.17,94510600
17/06/2020,21.45,0.09,0.42,21.48,21.85,21.15,63268700
18/06/2020,21.59,0.14,0.65,21.18,21.77,21.08,56893300
19/06/2020,21.3,-0.29,-1.34,22,22.22,21.22,91139800
20/06/2020,21.3,0,0,21.3,21.3,21.3,0
21/06/2020,21.3,0,0,21.3,21.3,21.3,0
22/06/2020,20.92,-0.38,-1.78,21.6,21.6,20.9,45419000
23/06/2020,21.69,0.77,3.68,21.22,22.07,21.14,78950900
24/06/2020,21.03,-0.66,-3.04,21.49,21.56,20.71,65162400
25/06/2020,21.38,0.35,1.66,20.91,21.5,20.73,47263500
26/06/2020,20.82,-0.56,-2.62,21.21,21.47,20.78,55499300
27/06/2020,20.82,0,0,20.82,20.82,20.82,0
28/06/2020,20.82,0,0,20.82,20.82,20.82,0
29/06/2020,21.66,0.84,4.03,21.1,21.68,20.93,59809600
30/06/2020,21.5,-0.16,-0.74,21.34,21.8,21.09,65010600
01/07/2020,21.66,0.16,0.74,21.75,22.25,21.52,78983900
02/07/2020,22.1,0.44,2.03,22.1,22.21,21.86,56345900
03/07/2020,22,-0.1,-0.45,21.95,22.18,21.8,24060000
04/07/2020,22,0,0,22,22,22,0
05/07/2020,22,0,0,22,22,22,0
06/07/2020,22.43,0.43,1.95,22.39,22.86,22.31,58070900
07/07/2020,22.26,-0.17,-0.76,22.34,22.47,22.14,46591300
08/07/2020,22.65,0.39,1.75,22.45,22.76,22.4,49136300
09/07/2020,22.21,-0.44,-1.94,22.78,22.81,22.06,57151500
10/07/2020,22.42,0.21,0.95,22.19,22.65,22.06,57428300
11/07/2020,22.42,0,0,22.42,22.42,22.42,0
12/07/2020,22.42,0,0,22.42,22.42,22.42,0
13/07/2020,22.15,-0.27,-1.2,22.61,22.65,22.13,55425500
14/07/2020,22.85,0.7,3.16,22.13,22.96,21.86,89380500
15/07/2020,23.34,0.49,2.14,23.2,23.43,22.85,58390600
16/07/2020,22.79,-0.55,-2.36,23.16,23.28,22.52,69698700
17/07/2020,22.78,-0.01,-0.04,22.83,23.03,22.58,49927600
18/07/2020,22.78,0,0,22.78,22.78,22.78,0
19/07/2020,22.78,0,0,22.78,22.78,22.78,0
20/07/2020,22.76,-0.02,-0.09,22.7,22.91,22.52,48679800
21/07/2020,23.24,0.48,2.11,23.15,23.6,23.14,101769600
22/07/2020,23.11,-0.13,-0.56,23.3,23.41,23.01,43085500
23/07/2020,22.59,-0.52,-2.25,23.16,23.23,22.54,64072100
24/07/2020,22.83,0.24,1.06,22.54,23.06,22.42,43380300
25/07/2020,22.83,0,0,22.83,22.83,22.83,0
26/07/2020,22.83,0,0,22.83,22.83,22.83,0
27/07/2020,23.2,0.37,1.62,22.87,23.25,22.45,56539600
28/07/2020,22.81,-0.39,-1.68,23.04,23.32,22.8,48353000
29/07/2020,23.16,0.35,1.53,23.03,23.25,22.92,44011500
30/07/2020,22.89,-0.27,-1.17,22.92,22.92,22.5,57859000
31/07/2020,22.28,-0.61,-2.66,22.92,23.14,22.16,75397300
01/08/2020,22.28,0,0,22.28,22.28,22.28,0
02/08/2020,22.28,0,0,22.28,22.28,22.28,0
03/08/2020,21.76,-0.52,-2.33,22.54,22.55,21.72,63598500
04/08/2020,21.8,0.04,0.18,21.46,22.05,21.25,63011900
05/08/2020,23.2,1.4,6.42,22.23,23.28,22.23,137214700
06/08/2020,23.12,-0.08,-0.34,23.28,23.53,23.01,56375100
07/08/2020,22.8,-0.32,-1.38,22.86,22.91,22.55,56040200
