Data,Fechamento,Variação,Variação (%),Abertura,Máxima,Mínima,Volume
03/04/2020,4.12,-0.26,-5.94,4.36,4.37,3.96,94686300
04/04/2020,4.12,0,0,4.12,4.12,4.12,0
05/04/2020,4.12,0,0,4.12,4.12,4.12,0
06/04/2020,4.4,0.28,6.8,4.45,4.58,4.08,89393700
07/04/2020,4.44,0.04,0.91,4.72,4.76,4.4,79731500
08/04/2020,5.06,0.62,13.96,4.35,5.15,4.28,120215800
09/04/2020,5.2,0.14,2.77,5.32,5.54,5.01,114671500
10/04/2020,5.2,0,0,5.2,5.2,5.2,0
11/04/2020,5.2,0,0,5.2,5.2,5.2,0
12/04/2020,5.2,0,0,5.2,5.2,5.2,0
13/04/2020,5.44,0.24,4.62,5.05,5.45,5.02,77796500
14/04/2020,6.18,0.74,13.6,5.68,6.18,5.62,98924800
15/04/2020,6.31,0.13,2.1,5.77,6.57,5.66,118257800
16/04/2020,6.49,0.18,2.85,6.6,6.72,6.31,110060200
17/04/2020,6.5,0.01,0.15,6.65,6.73,6.36,66235700
18/04/2020,6.5,0,0,6.5,6.5,6.5,0
19/04/2020,6.5,0,0,6.5,6.5,6.5,0
20/04/2020,6.61,0.11,1.69,6.25,6.75,6.15,99660100
21/04/2020,6.61,0,0,6.61,6.61,6.61,0
22/04/2020,7.38,0.77,11.65,6.62,7.49,6.62,115694800
23/04/2020,7.36,-0.02,-0.27,7.85,8.15,7.07,176874100
24/04/2020,6.5,-0.86,-11.68,7.17,7.28,6.04,208264300
25/04/2020,6.5,0,0,6.5,6.5,6.5,0
26/04/2020,6.5,0,0,6.5,6.5,6.5,0
27/04/2020,7.72,1.22,18.77,7.2,7.72,6.86,185849500
28/04/2020,9.09,1.37,17.75,8.29,9.57,8.22,308562800
29/04/2020,9.22,0.13,1.43,9.52,9.81,8.58,235755300
30/04/2020,9.16,-0.06,-0.65,8.77,9.32,8.66,157175600
01/05/2020,9.16,0,0,9.16,9.16,9.16,0
02/05/2020,9.16,0,0,9.16,9.16,9.16,0
03/05/2020,9.16,0,0,9.16,9.16,9.16,0
04/05/2020,9.53,0.37,4.04,8.8,9.6,8.78,107827200
05/05/2020,9.76,0.23,2.41,9.94,10.41,9.64,174285400
06/05/2020,10.02,0.26,2.66,10.05,10.23,9.84,148654000
07/05/2020,9.71,-0.31,-3.09,10.39,10.39,9.65,145624300
08/05/2020,8.8,-0.91,-9.37,9.18,9.62,8.35,243050300
09/05/2020,8.8,0,0,8.8,8.8,8.8,0
10/05/2020,8.8,0,0,8.8,8.8,8.8,0
11/05/2020,8.93,0.13,1.48,8.52,9.24,8.14,181400400
12/05/2020,8.48,-0.45,-5.04,9.27,9.34,8.42,127538500
13/05/2020,9.19,0.71,8.37,8.8,9.21,8.33,162115000
14/05/2020,9.06,-0.13,-1.41,9.4,9.49,8.85,173366200
15/05/2020,8.68,-0.38,-4.19,8.8,9.18,8.62,105629600
16/05/2020,8.68,0,0,8.68,8.68,8.68,0
17/05/2020,8.68,0,0,8.68,8.68,8.68,0
18/05/2020,8.88,0.2,2.3,9.13,9.14,8.84,70247600
19/05/2020,9.22,0.34,3.83,8.96,9.63,8.88,134614200
20/05/2020,9.17,-0.05,-0.54,9.37,9.49,9.05,80175200
21/05/2020,9.47,0.3,3.27,9.2,9.58,9.15,75890600
22/05/2020,9.79,0.32,3.38,9.37,9.85,9.26,101461700
23/05/2020,9.79,0,0,9.79,9.79,9.79,0
24/05/2020,9.79,0,0,9.79,9.79,9.79,0
25/05/2020,11.24,1.45,14.81,10.09,11.29,10.06,160480600
26/05/2020,11.63,0.39,3.47,11.97,12.41,11.46,150667100
27/05/2020,12.42,0.79,6.79,11.9,12.42,11.64,114343300
28/05/2020,12.54,0.12,0.97,12.31,12.9,12.12,127948300
29/05/2020,12.52,-0.02,-0.16,12.45,12.7,11.87,101027800
30/05/2020,12.52,0,0,12.52,12.52,12.52,0
31/05/2020,12.52,0,0,12.52,12.52,12.52,0
01/06/2020,13.5,0.98,7.83,12.31,13.62,12.24,119321200
02/06/2020,13.38,-0.12,-0.89,13.87,14.24,13.05,127160500
03/06/2020,13.46,0.08,0.6,13.81,13.89,12.85,136975700
04/06/2020,13.95,0.49,3.64,13,14.04,12.75,124862900
05/06/2020,14.85,0.9,6.45,14.75,15.19,14.35,123519100
06/06/2020,14.85,0,0,14.85,14.85,14.85,0
07/06/2020,14.85,0,0,14.85,14.85,14.85,0
08/06/2020,15.53,0.68,4.58,15.3,15.55,14.93,83947300
09/06/2020,15.1,-0.43,-2.77,15.11,15.44,14.85,72709600
10/06/2020,14.9,-0.2,-1.32,15.27,15.72,14.83,92995000
11/06/2020,14.9,0,0,14.9,14.9,14.9,0
12/06/2020,14.37,-0.53,-3.56,14.65,15.15,14.35,87992100
13/06/2020,14.37,0,0,14.37,14.37,14.37,0
14/06/2020,14.37,0,0,14.37,14.37,14.37,0
15/06/2020,15.7,1.33,9.26,14.36,15.79,14.2,116438400
16/06/2020,15.26,-0.44,-2.8,16.59,16.66,15.13,139741900
17/06/2020,15.16,-0.1,-0.66,15.2,15.55,14.42,148586900
18/06/2020,15.23,0.07,0.46,14.98,15.73,14.94,82450700
19/06/2020,15.27,0.04,0.26,15.6,15.72,15.07,93795500
20/06/2020,15.27,0,0,15.27,15.27,15.27,0
21/06/2020,15.27,0,0,15.27,15.27,15.27,0
22/06/2020,14.95,-0.32,-2.1,15.35,15.42,14.76,52952500
23/06/2020,15.01,0.06,0.4,15.1,15.24,14.81,47754200
24/06/2020,14.52,-0.49,-3.26,14.9,15.07,13.96,74483100
25/06/2020,14.51,-0.01,-0.07,14.7,14.82,14.26,57858000
26/06/2020,14.29,-0.22,-1.52,14.5,14.78,14.06,62045500
27/06/2020,14.29,0,0,14.29,14.29,14.29,0
28/06/2020,14.29,0,0,14.29,14.29,14.29,0
29/06/2020,15.4,1.11,7.77,14.41,15.45,13.99,115333400
30/06/2020,15.22,-0.18,-1.17,15.3,15.88,15.17,81006200
01/07/2020,15.97,0.75,4.93,15.65,16.05,15.4,80536600
02/07/2020,15.52,-0.45,-2.82,16.25,16.8,15.28,127300900
03/07/2020,15.56,0.04,0.26,15.42,15.71,15.11,52693100
04/07/2020,15.56,0,0,15.56,15.56,15.56,0
05/07/2020,15.56,0,0,15.56,15.56,15.56,0
06/07/2020,15.96,0.4,2.57,16,16.1,15.72,44665700
07/07/2020,15.87,-0.09,-0.56,15.83,16.04,15.62,47119400
08/07/2020,16.38,0.51,3.21,16.22,16.56,16.15,70336900
09/07/2020,17.51,1.13,6.9,16.5,17.67,16.35,112337300
10/07/2020,17.68,0.17,0.97,17.65,18.06,17.5,53317500
11/07/2020,17.68,0,0,17.68,17.68,17.68,0
12/07/2020,17.68,0,0,17.68,17.68,17.68,0
13/07/2020,17.6,-0.08,-0.45,17.89,19.05,17.51,124617300
14/07/2020,17.8,0.2,1.14,17.82,18.54,17.57,107603400
15/07/2020,18.49,0.69,3.88,18.24,18.53,17.93,67767800
16/07/2020,19.04,0.55,2.97,18.29,19.04,18.29,63280900
17/07/2020,19.75,0.71,3.73,19.41,19.96,19.26,90605000
18/07/2020,19.75,0,0,19.75,19.75,19.75,0
19/07/2020,19.75,0,0,19.75,19.75,19.75,0
20/07/2020,21.29,1.54,7.8,19.94,21.3,19.9,115751100
21/07/2020,20.73,-0.56,-2.63,21.8,22.36,19.81,172402000
21/12/2020,16.15,-0.67,-3.98,15,16.7,14.71,72304200
22/12/2020,15.94,-0.21,-1.3,16.35,16.45,15.86,39309400
23/12/2020,16.13,0.19,1.19,15.85,16.58,15.71,39829300
24/12/2020,16.13,0,0,16.13,16.13,16.13,0
25/12/2020,16.13,0,0,16.13,16.13,16.13,0
26/12/2020,16.13,0,0,16.13,16.13,16.13,0
27/12/2020,16.13,0,0,16.13,16.13,16.13,0
28/12/2020,16.59,0.46,2.85,16.4,16.7,16,35939400
29/12/2020,16.58,-0.01,-0.06,16.64,16.84,16.48,29555500
30/12/2020,16.16,-0.42,-2.53,16.61,16.78,16.16,36903300
