Nome de Pregão,Razão Social,Tipo,Segmento,CNPJ,Ticker
3M,3M COMPANY,,DRN,,MMMC34
3R PETROLEUM,3R PETROLEUM ÓLEO E GÁS S.A,ON,NM,12.091.809/0001-55,RRRP3
524 PARTICIP,524 PARTICIPACOES S.A.,ON,MB,01.851.771/0001-55,QVQP3B
AB INBEV,ANHEUSER-BUSCH INBEV SA/NV,,DRN,,ABUD34
ABB LTD,ABB LTD,,DRN,,A1BB34
ABBOTT,ABBOTT LABORATORIES,,DRN,,ABTT34
ABBVIE,ABBVIE INC.,,DRN,,ABBV34
ABC BRASIL,BCO ABC BRASIL S.A.,PN DIR,N2,28.195.667/0001-06,ABCB2
ABC BRASIL,BCO ABC BRASIL S.A.,PN,N2,28.195.667/0001-06,ABCB4
ABIOMED INC,ABIOMED Inc,,DRN,,A1BM34
ACCENTURE,ACCENTURE PLC,,DRN,,ACNB34
ACO ALTONA,ELECTRO ACO ALTONA S.A.,PN,,82.643.537/0001-34,EALT4
ACO ALTONA,ELECTRO ACO ALTONA S.A.,ON,,82.643.537/0001-34,EALT3
ACTIVISION,ACTIVISION BLIZZARD INC,,DRN,,ATVI34
ADOBE INC,ADOBE INC,,DRN,,ADBE34
ADVANCE AUTO,ADVANCE AUTO PARTS INC,,DRN,,A1AP34
ADVANCED MIC,ADVANCED MICRO DEVICES INC,,DRN,,A1MD34
AEGON NV,AEGON NV,,DRN,,A1EG34
AERIS,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,ON,NM,12.528.708/0001-07,AERI3
AES CORP,AES CORP,,DRN,,A1ES34
AES TIETE E,AES TIETE ENERGIA SA,UNT,N2,04.128.563/0001-10,TIET11
AES TIETE E,AES TIETE ENERGIA SA,PN,N2,04.128.563/0001-10,TIET4
AES TIETE E,AES TIETE ENERGIA SA,ON,N2,04.128.563/0001-10,TIET3
AFLAC INC,AFLAC INC,,DRN,,A1FL34
AFLUENTE T,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,ON,,10.338.320/0001-00,AFLT3
AGILENT TECH,AGILENT TECHNOLOGIES INC,,DRN,,A1GI34
AIG GROUP,AMERICAN INTERNATIONAL GROUP INC.,,DRN,,AIGB34
AIR PRODUCTS,AIR PRODUCTS & CHEMICALS INC,,DRN,,A1PD34
AKAMAI TECHN,AKAMAI TECHNOLOGIES INC,,DRN,,A1KA34
ALASKA AIR G,ALASKA AIR GROUP INC,,DRN,,A1LK34
ALBEMARLE CO,ALBEMARLE CORP,,DRN,,A1LB34
ALEF S/A,ALEF S.A.,ON,MB,02.217.319/0001-07,ALEF3B
ALEXANDRIA R,ALEXANDRIA REAL ESTATE EQUITIES INC,,DRN,,A1RE34
ALEXION PHAR,ALEXION PHARMACEUTICALS INC,,DRN,,A1LX34
ALFA CONSORC,CONSORCIO ALFA DE ADMINISTRACAO S.A.,UNT,,17.193.806/0001-46,BRGE11
ALFA CONSORC,CONSORCIO ALFA DE ADMINISTRACAO S.A.,PND,,17.193.806/0001-46,BRGE8
